Algorithm,Instance,Nodes,Limiar,Cost,Quality,Time(sec),Memory(MB)
Branch and Bound,a0,12,4057,4057,1.0,1.03,0.02
Twice Around the Tree,a0,12,4057,4558,1.12,0.00,0.04
Christofides,a0,12,4057,4400,1.08,0.00,0.06
Branch and Bound,eil51,51,426,NA,NA,NA,0.39
Twice Around the Tree,eil51,51,426,612,1.44,0.01,0.14
Christofides,eil51,51,426,589,1.38,0.03,0.14
Branch and Bound,berlin52,52,7542,NA,NA,NA,0.4
Twice Around the Tree,berlin52,52,7542,10278,1.36,0.01,0.06
Christofides,berlin52,52,7542,8512,1.13,0.03,0.12
Branch and Bound,st70,70,675,NA,NA,NA,0.85
Twice Around the Tree,st70,70,675,879,1.3,0.01,0.16
Christofides,st70,70,675,877,1.3,0.08,0.25
Branch and Bound,eil76,76,538,NA,NA,NA,1.04
Twice Around the Tree,eil76,76,538,697,1.3,0.01,0.16
Christofides,eil76,76,538,649,1.21,0.10,0.33
Branch and Bound,pr76,76,108159,NA,NA,NA,1.04
Twice Around the Tree,pr76,76,108159,145928,1.35,0.01,0.16
Christofides,pr76,76,108159,133615,1.24,0.04,0.2
Branch and Bound,rat99,99,1211,NA,NA,NA,2.07
Twice Around the Tree,rat99,99,1211,1724,1.42,0.03,0.51
Christofides,rat99,99,1211,1567,1.29,0.12,0.37
Branch and Bound,kroA100,100,21282,NA,NA,NA,2.13
Twice Around the Tree,kroA100,100,21282,27585,1.3,0.02,0.38
Christofides,kroA100,100,21282,25862,1.22,0.15,0.47
Branch and Bound,kroB100,100,22141,NA,NA,NA,2.12
Twice Around the Tree,kroB100,100,22141,26770,1.21,0.03,0.38
Christofides,kroB100,100,22141,25033,1.13,0.10,0.38
Branch and Bound,kroC100,100,20749,NA,NA,NA,2.12
Twice Around the Tree,kroC100,100,20749,27826,1.34,0.03,0.38
Christofides,kroC100,100,20749,27572,1.33,0.14,0.47
Branch and Bound,kroD100,100,21294,NA,NA,NA,2.12
Twice Around the Tree,kroD100,100,21294,28071,1.32,0.03,0.52
Christofides,kroD100,100,21294,27850,1.31,0.14,0.41
Branch and Bound,kroE100,100,22068,NA,NA,NA,2.12
Twice Around the Tree,kroE100,100,22068,28817,1.31,0.03,0.38
Christofides,kroE100,100,22068,29396,1.33,0.18,0.53
Branch and Bound,rd100,100,7910,NA,NA,NA,2.12
